ID,pH Tanah,N Total (%),P Tersedia (ppm),K Tersedia (meq/100g),C Organik (%),KTK (meq/100g),Kejenuhan Basa (%),Tekstur Tanah,Kadar Air (%),Bulk Density (g/cm³),Label
1156,8.1,0.115,10.56,0.166,1.71,10.99,38.48,Pasir,67.16,1.788,Tidak Subur
1157,6.37,0.238,43.39,0.566,4.26,43.52,66.56,Lempung,35.46,1.191,Subur
1158,7.23,0.422,53.82,,4.31,40.57,61.24,Lempung Berliat,36.75,1.145,Subur
1159,7.13,0.491,46.75,0.319,,34.28,71.19,Lempung,36.9,1.039,Subur
1160,7.08,0.317,41.69,0.417,2.95,20.18,93.73,Lempung,35.96,,Subur
1161,8.23,0.178,9.65,0.182,,15.72,39.01,Liat,65.96,1.802,Tidak Subur
1162,7.05,0.349,46.62,0.58,2.18,31.74,63.9,Lempung,32.3,0.984,Subur
1163,5.16,,8.98,0.274,1.85,12.15,54.57,Debu,16.33,1.687,Tidak Subur
1164,6.28,0.464,42.69,0.307,3.22,32.05,99.57,Lempung,29.84,1.196,Subur
1165,8.51,0.077,8.85,0.141,1.52,15.97,39.49,Pasir,71.68,1.848,Tidak Subur
1166,6.79,0.444,23.96,0.356,2.34,27.85,62.53,Lempung Berpasir,29.28,0.948,Subur
1167,7.28,0.389,20.17,0.616,4.91,31.88,63.45,Lempung Berliat,40.96,0.992,Subur
1168,5.09,0.015,1.2,0.264,1,18.84,11.06,Liat,,1.62,Tidak Subur
1169,8.82,0.196,5.99,0.257,1.49,18.13,28.5,Liat,72,1.851,Tidak Subur
1170,7.16,0.277,27.92,0.394,3,21.13,68.2,Lempung,35.65,1.054,Subur
1171,7.42,0.245,58.74,0.351,4.98,35.01,69.35,Lempung Berpasir,,1.15,Subur
1172,5.23,0.074,11.11,0.231,,9.11,44.17,Pasir,7.03,1.705,Tidak Subur
1173,7.94,0.168,10.86,0.118,1.14,5.45,54.14,Liat,74.95,1.462,Tidak Subur
1174,6.56,0.484,17.59,0.597,3,33.62,62.54,Lempung Berpasir,27.35,,Subur
1175,7.25,0.227,44.09,0.47,3.79,24.71,63.57,Lempung,35.51,0.965,Subur
1176,8.43,0.03,8.76,,1.85,8.29,13.46,Pasir,71.31,1.646,Tidak Subur
1177,8.36,0.037,13.82,0.273,1,10.24,55.31,Liat,62.91,1.405,Tidak Subur
1178,6.56,0.264,26.78,0.636,3.72,29.84,85.93,Lempung,39.41,1.174,Subur
1179,4.44,0.096,10.76,0.186,1.6,14.19,19.9,Debu,19.84,1.667,Tidak Subur
1180,4.67,0.176,4.41,0.122,1.45,5.81,12.19,Debu,13.7,1.481,Tidak Subur
1181,4.11,0.066,6.55,0.283,1.59,13.16,12.28,Liat,11.27,1.891,Tidak Subur
1182,4.84,0.143,5.36,0.149,1.08,7.07,17.05,Liat,16.01,1.652,Tidak Subur
1183,6.5,0.331,35.88,0.401,3.88,40.94,75.09,,29.28,0.999,Subur
1184,4.68,0.094,2.06,0.12,1.52,15.03,11.75,Liat,17.43,1.837,Tidak Subur
1185,6.17,0.233,31.55,0.387,2.14,34.49,85.35,Lempung Berpasir,27.87,1.184,Subur
1186,8.6,0.166,12.32,0.092,1.46,17.46,42.42,Pasir,64.14,1.569,Tidak Subur
1187,3.94,0.018,6.15,0.092,0.33,7.01,55.19,Liat,17.74,1.501,Tidak Subur
1188,6.17,0.343,,0.573,2.02,35.83,64.51,Lempung Berpasir,30.09,1.13,Subur
1189,7.68,0.073,7.86,0.069,0.28,8.33,52.64,Liat,56.14,,Tidak Subur
1190,4.28,0.06,7.34,0.235,1.72,18.11,24.29,Pasir,19.29,1.608,Tidak Subur
1191,8.17,0.031,11.42,0.087,1.02,18.19,44.23,Liat,61.4,1.759,Tidak Subur
1192,4.69,0.155,3.94,0.107,0.56,9.81,58.36,Debu,16.61,1.656,Tidak Subur
1193,6.48,0.403,45.47,0.674,4.97,28.7,62.39,Lempung,34.09,0.95,Subur
1194,8.24,0.152,11.77,0.244,1.08,15.12,12.34,Pasir,56.88,1.427,Tidak Subur
1195,3.59,0.136,2.24,0.134,1.05,13.76,34.63,Liat,7.22,1.565,Tidak Subur
1196,3.74,0.086,9.58,0.25,0.75,14.88,10.07,Liat,14.19,1.823,Tidak Subur
1197,7.36,0.499,50.7,0.429,,27.89,65.07,Lempung,41.02,0.941,Subur
1198,7.15,0.386,37.18,0.333,3.63,23.67,81.74,Lempung,29.46,1.015,Subur
1199,4.88,0.02,4.56,0.202,1.31,6.07,38.96,Pasir,14.82,1.676,Tidak Subur
1200,6.52,0.222,47.8,0.533,4.07,35.93,67.89,Lempung Berliat,,,Subur
1201,7.24,0.433,,0.6,4.3,32.56,79.68,Lempung Berpasir,,1.132,Subur
1202,6.31,0.46,23.62,0.606,4.33,41.29,96.34,Lempung Berpasir,25.58,0.917,Subur
1203,5.06,,5.25,0.205,0.8,17.85,56.99,Pasir,18.9,,Tidak Subur
1204,6.55,,25.89,0.31,4.43,28.87,74.67,Lempung,42.96,0.98,Subur
1205,6.06,0.465,51.97,0.484,3.95,42,66.72,Lempung Berpasir,,1.023,Subur
1206,4.94,0.096,8.96,0.217,0.23,13.34,41.63,Liat,10.59,1.796,Tidak Subur
1207,7.02,0.353,,0.631,3.19,39.54,96.49,Lempung Berpasir,39.87,1.162,Subur
1208,3.86,0.144,13.71,0.274,1.82,9.51,42.83,Debu,13.57,1.862,Tidak Subur
1209,5.26,0.051,9.71,0.142,1.11,14.96,53.81,Liat,15.9,1.741,Tidak Subur
1210,7.64,0.075,10.94,0.168,1.06,9.17,38.78,Pasir,69.11,1.531,Tidak Subur
1211,4.66,0.114,1.96,0.221,,10.46,14.76,Pasir,12.75,1.602,Tidak Subur
1212,7.89,,7.19,,0.63,18.53,45.41,Liat,,1.429,Tidak Subur
1213,4.23,0.038,13.01,,1.05,5.01,28.69,Liat,7.33,1.647,Tidak Subur
1214,7.06,0.352,36.94,0.326,2.17,30.76,70.13,Lempung,25.79,1.074,Subur
1215,6.13,,30.41,0.327,4.19,23.14,82.07,Lempung,40.71,0.996,Subur
1216,6.38,0.39,15.79,0.441,4.46,36.41,86.46,Lempung Berpasir,26.36,1.006,Subur
1217,6.84,0.335,40.73,0.371,3.97,32.01,82,Lempung Berpasir,42.2,0.998,Subur
1218,6.03,0.395,24.32,0.779,4.4,28.97,72.87,Lempung Berpasir,25.68,,Subur
1219,7.21,0.342,45.98,0.633,2.13,41.59,82.6,Lempung,26.8,1.065,Subur
1220,6.39,0.305,28.69,0.587,4.22,25.51,94.06,Lempung,36.07,0.951,Subur
1221,6.64,0.44,,0.795,2.15,26.14,84.62,Lempung Berliat,28.15,1.06,Subur
1222,8.97,0.076,10.38,0.17,,5.4,38.26,Debu,69.04,1.71,Tidak Subur
1223,5.13,0.031,2.45,0.249,0.55,17.84,45.25,Liat,16.12,1.566,Tidak Subur
1224,6.18,0.324,59.72,0.438,3.21,40,70.61,Lempung,,1.105,Subur
1225,4.36,0.06,2.55,0.257,0.72,6.12,26.54,Liat,14.64,1.784,Tidak Subur
1226,8.59,0.107,5.23,0.162,0.24,5.22,34.79,Pasir,68.19,1.558,Tidak Subur
1227,4.45,0.102,8.19,0.185,0.49,13.15,31.54,Debu,8.04,1.434,Tidak Subur
1228,6.25,0.394,27.33,0.325,2.56,39.24,88.11,Lempung,37.18,1.1,Subur
1229,6.8,0.349,49.4,,3.54,21.28,63.2,Lempung Berliat,31.19,1.121,Subur
1230,6.57,0.33,18.4,0.589,3.86,31.39,97.54,Lempung,36.82,1.091,Subur
1231,7.68,0.195,7.72,0.085,0.88,11.22,28.42,Debu,68.71,1.553,Tidak Subur
1232,7.29,0.248,27.71,0.629,3.79,40.33,83.12,Lempung,37.98,1.173,Subur
1233,7.22,0.391,36.32,0.784,2.2,28.85,68.94,Lempung,39.87,1.124,Subur
1234,6.19,0.362,49.6,0.331,2.26,31.68,84.28,Lempung,42.56,1.078,Subur
1235,3.83,0.084,11.3,0.172,1.71,12.31,47.74,Liat,14.34,1.568,Tidak Subur
1236,6.87,0.249,29.03,0.634,3.52,30.14,74.22,Lempung Berpasir,36.79,,Subur
1237,4.73,,9.62,0.105,,9.08,40.23,Debu,8.36,1.463,Tidak Subur
1238,3.84,0.151,1.83,0.266,1.63,16.79,17.58,Pasir,17.46,1.789,Tidak Subur
1239,4.98,0.137,,0.224,1.28,18.99,15.1,Liat,10.6,1.495,Tidak Subur
1240,5.37,0.01,,0.136,1.59,18.27,20.3,Liat,14.39,1.677,Tidak Subur
1241,6.14,0.458,46.16,0.432,2.15,30.8,97.42,Lempung,,0.915,Subur
1242,6.24,0.48,44.32,,4.52,40.86,89.78,Lempung Berpasir,,0.966,Subur
1243,8.67,0.154,8.69,0.257,0.79,6.83,40.96,Liat,73.05,1.771,Tidak Subur
1244,6.88,0.332,17.99,,3.88,44.44,78.33,Lempung Berliat,35.62,0.949,Subur
1245,6.45,0.315,40.29,0.32,4.15,22.19,74.49,Lempung,39.73,0.933,Subur
1246,6.52,0.395,50.69,0.713,2.87,22.69,72.64,Lempung,38.18,1.181,Subur
1247,7.32,0.467,50.33,0.535,2.36,37.07,82.53,Lempung Berpasir,44.64,1.081,Subur
1248,4.16,0.19,8.07,0.212,1.51,16.3,36.85,Debu,19.25,1.6,Tidak Subur
1249,7,0.217,32.12,0.787,3.43,39.78,67.96,Lempung Berliat,27.33,0.92,Subur
1250,8.18,0.118,1.21,0.184,1.04,12.49,37.17,Pasir,61.27,1.769,Tidak Subur
1251,3.52,0.075,,,0.27,16.95,57.35,Liat,7.77,1.886,Tidak Subur
1252,8.21,0.023,6.25,0.256,,16.87,36.71,Debu,74.11,1.581,Tidak Subur
1253,3.97,0.189,11.46,0.255,1.68,11.98,11.51,Debu,18.23,1.866,Tidak Subur
1254,8.27,,10.93,0.205,1.49,17.56,51.42,Pasir,64.76,1.665,Tidak Subur
1255,3.58,0.18,11.09,0.131,1.02,7.75,14.75,Liat,15.07,1.56,Tidak Subur
1256,7.87,0.186,11.58,0.09,1.32,6.16,18.59,Pasir,65.31,1.605,Tidak Subur
1257,7.62,0.032,5.83,0.101,1.89,5.53,18.97,Pasir,70.15,1.718,Tidak Subur
1258,4.97,0.111,11.03,,1.8,10.26,15.33,Pasir,9.5,1.663,Tidak Subur
1259,6.27,0.344,57.34,0.767,4.65,32.15,97.27,Lempung Berliat,38.79,1.102,Subur
1260,6.17,0.485,49.74,,2.68,30.73,74.26,Lempung Berpasir,34.72,0.961,Subur
1261,4.47,0.189,,0.143,1.34,15.49,51.72,Pasir,,1.518,Tidak Subur
1262,7.3,0.234,40.43,,4.31,21.75,79.09,,38.09,1.187,Subur
1263,3.71,0.048,10.95,0.28,1.37,15.39,41.69,Liat,13.28,1.785,Tidak Subur
1264,7.35,0.465,32.78,0.325,4.64,27.15,92.31,Lempung Berpasir,27.72,1.109,Subur
1265,8.66,0.026,9.49,0.147,,14.18,40.93,Pasir,59.42,,Tidak Subur
1266,6.29,0.327,33.53,0.338,2.12,26.92,79.61,Lempung,29.69,0.969,Subur
1267,6.51,0.274,38.73,0.572,3.9,20.4,63.1,Lempung,32.47,0.981,Subur
1268,3.56,0.156,8.82,0.279,0.79,14.95,32.14,Liat,10.12,1.885,Tidak Subur
1269,6.79,0.385,39.5,0.411,3.33,44.7,65.15,Lempung,38.35,0.901,Subur
1270,8.22,0.19,7.78,0.239,1.54,15.66,23.17,Liat,57.26,,Tidak Subur
1271,6.6,0.435,24.99,0.464,3.18,38.3,98.63,Lempung Berpasir,26.45,0.96,Subur
1272,5.22,0.169,,0.058,0.86,12.37,25.98,Liat,15.33,1.654,Tidak Subur
1273,7.03,0.32,24.02,0.749,3.49,27.76,63.39,Lempung Berpasir,28.07,1.013,Subur
1274,7.9,0.197,,0.261,1.62,18.72,36.91,Debu,61.24,1.755,Tidak Subur
1275,6.07,0.318,31.29,0.401,3.66,26.44,99.2,Lempung,25.66,1.159,Subur
1276,6.42,0.434,31.7,0.422,4.88,31.14,82.29,Lempung,,1.174,Subur
1277,4.9,0.097,6.71,0.182,1.2,6.4,49.64,Debu,15.36,1.573,Tidak Subur
1278,7,,21.82,0.666,3.16,31.6,79.67,Lempung,25.19,1.119,Subur
1279,7.11,0.442,34.29,0.72,2.93,29.04,87.04,Lempung Berpasir,32.83,1.131,Subur
1280,8.77,0.034,3.18,0.12,,16.96,10.38,Debu,64.96,1.745,Tidak Subur
1281,7.49,0.404,54.15,0.701,3.45,30.23,96.99,Lempung,39.1,1.145,Subur
1282,4.59,0.021,10.17,0.087,1.71,5.77,26.78,Debu,12.76,1.449,Tidak Subur
1283,4.79,0.089,13.98,0.188,1.04,9.36,52.02,Liat,11.63,1.661,Tidak Subur
1284,8.99,0.058,12.9,0.082,0.27,10.58,36.6,Pasir,69.01,1.645,Tidak Subur
1285,6.88,0.286,31.64,0.714,3.43,25.15,72.82,Lempung,29.56,0.975,Subur
1286,6.77,0.393,22.87,0.38,3.33,20.53,62.18,Lempung,34.73,0.91,Subur
1287,4.24,0.172,,0.233,,6.59,53.48,Pasir,14.9,1.861,Tidak Subur
1288,7.03,0.229,25.14,0.334,3.98,38.19,65.07,Lempung Berpasir,31.93,1.121,Subur
1289,6.62,0.343,31.73,0.611,4.26,43.64,92.95,Lempung,33.53,0.968,Subur
1290,6.18,0.483,49.9,0.525,4.2,20.91,76.76,Lempung,42.25,1.03,Subur
1291,8.87,0.161,8.25,0.213,1.51,10.19,22.11,Liat,69.42,1.758,Tidak Subur
1292,3.89,0.184,1.16,0.27,1.29,10.62,13.7,Liat,9.81,1.781,Tidak Subur
1293,6.23,0.367,36.44,0.51,3.93,26.46,77.39,Lempung Berpasir,27.25,0.927,Subur
1294,4.81,,12.11,,0.98,11.84,47.02,Liat,18.33,1.446,Tidak Subur
1295,7.71,0.086,11.19,0.214,1.76,18.07,21.27,Debu,56.86,1.825,Tidak Subur
1296,5.11,0.073,12.04,0.076,1.85,10.6,29.25,Pasir,10.29,1.511,Tidak Subur
1297,4.29,0.069,4.83,0.065,1.62,14.53,31.54,Pasir,11.48,1.533,Tidak Subur
1298,8.3,0.117,12.66,0.053,1.83,14.56,31.33,Liat,58.85,1.711,Tidak Subur
1299,8.38,0.107,5.45,0.205,1.23,12.53,53.59,Pasir,62.78,1.607,Tidak Subur
1300,7.48,0.46,33.34,0.669,3.26,35.79,91.22,Lempung Berpasir,31.32,0.964,Subur
1301,6.71,0.231,20.45,0.599,,42.74,78.43,Lempung Berpasir,34.25,0.993,Subur
1302,3.82,0.064,7.63,0.279,0.7,8,42.88,Pasir,,1.495,Tidak Subur
1303,6.89,0.303,26.54,0.636,4.21,38.15,88.8,Lempung,35.49,1.199,Subur
1304,4.1,0.137,,0.21,0.47,6.37,45.12,Debu,5.78,1.579,Tidak Subur
1305,4.43,0.114,4,0.052,0.29,14.58,56.6,Debu,5.14,1.586,Tidak Subur
1306,8.29,0.185,2.91,0.092,0.77,5.96,20.12,Debu,74.08,1.649,Tidak Subur
1307,6.02,0.36,,0.308,4.82,28.54,90.53,Lempung,42.28,0.976,Subur
1308,6.89,,29.63,0.505,2.29,39.23,65.69,Lempung,28.9,0.986,Subur
1309,5.35,0.17,13.98,0.114,1.1,18.05,53.09,Debu,5.83,1.789,Tidak Subur
1310,4.95,0.072,,0.172,1.5,17.78,12.75,Liat,,1.563,Tidak Subur
1311,4.27,0.181,7.96,0.12,1.61,15.61,21.56,Pasir,11.95,1.632,Tidak Subur
1312,8.09,0.194,4.62,0.082,1.39,9.94,12.33,Pasir,63.08,1.585,Tidak Subur
1313,6.94,0.499,47.82,0.303,3.6,37.76,68.02,Lempung Berpasir,42.45,0.929,Subur
1314,6.93,0.318,24.15,0.603,4.08,38.79,71.96,Lempung,27.7,0.913,Subur
1315,7.37,0.423,35.78,0.368,4.02,35.41,60.28,Lempung,36.3,,Subur
1316,4.87,0.167,12.35,0.063,1.86,12.83,29.14,Pasir,,1.704,Tidak Subur
1317,5.17,0.089,,0.151,1.71,5.58,52.41,Pasir,15.51,1.863,Tidak Subur
1318,6.19,0.327,45.72,0.681,2.39,31.73,61.97,Lempung Berpasir,40.26,1.022,Subur
1319,6.18,0.365,32.47,0.748,3.02,26.09,71.5,Lempung,37.19,1.004,Subur
1320,6.54,0.299,53.27,0.555,3.65,41.47,72.82,Lempung Berpasir,29.07,0.959,Subur
1321,6.29,,45.05,0.496,2.06,32.62,75.15,Lempung,,1.12,Subur
1322,7,0.363,17.6,0.523,4.17,36.4,97.34,Lempung,30.04,1.041,Subur
1323,8.82,0.157,7.03,0.079,1.34,15.42,53.61,Liat,63.6,1.518,Tidak Subur
1324,7.91,0.146,,0.084,0.52,18.69,33.97,Liat,,1.856,Tidak Subur
1325,3.94,0.189,1.18,0.093,1.7,8.46,24.81,Debu,15.71,1.548,Tidak Subur
1326,4.5,0.173,8.87,,0.57,16.71,21.64,Pasir,8.64,1.603,Tidak Subur
1327,4.98,0.168,9.83,0.259,0.85,18.09,35.55,Pasir,8.3,1.647,Tidak Subur
1328,8.34,0.102,12.89,,0.67,17.27,45.93,Liat,59.24,1.737,Tidak Subur
1329,6.26,0.406,46.92,0.454,,29.73,97.9,Lempung,37.19,,Subur
1330,4.7,0.083,4.02,0.255,,6.24,26.57,Debu,16.79,1.875,Tidak Subur
1331,4.74,,6.57,0.194,1.7,14.69,43.74,Liat,16.27,,Tidak Subur
1332,6.34,,27.46,0.595,4.67,39.16,67.84,Lempung Berliat,39.85,0.967,Subur
1333,8.63,0.164,13.3,0.063,,5.68,47.17,Liat,64.97,1.452,Tidak Subur
1334,7.36,0.391,51.16,,2.41,40.91,75.46,Lempung Berliat,33.96,1.049,Subur
1335,4.15,0.05,10.79,0.095,1.68,7.74,58.4,Debu,13.54,1.592,Tidak Subur
1336,3.85,0.189,9.64,0.103,,18.32,58.87,Pasir,18.22,1.492,Tidak Subur
1337,7.08,0.239,29.95,0.676,2.95,37.97,78.42,Lempung,,1.115,Subur
1338,7.35,0.253,37.9,,4.22,20.18,69.15,Lempung Berpasir,43.62,0.981,Subur
1339,4.94,0.087,11.51,0.286,1.75,9.97,37.78,Liat,5.46,1.604,Tidak Subur
1340,3.7,0.062,4.28,0.258,0.66,14.02,10.47,Liat,16.58,1.439,Tidak Subur
1341,8.65,0.114,13.02,0.187,0.23,14,54.51,Pasir,70.59,1.659,Tidak Subur
1342,4.25,0.18,,0.143,1.72,11.55,50.51,Pasir,9.94,1.864,Tidak Subur
1343,7.2,0.256,,0.743,2.33,32,97.73,Lempung,41.21,0.916,Subur
1344,7.89,0.054,8.58,0.072,0.38,7.77,58.96,Liat,,1.732,Tidak Subur
1345,6.1,0.293,44.55,0.509,4.94,24.06,69.07,Lempung,43.4,1.094,Subur
1346,6.54,0.248,57.42,0.423,3.29,36.93,66.44,Lempung,32.72,1.124,Subur
1347,7.45,0.412,58.84,0.339,4.99,27.59,77.51,Lempung Berliat,38.83,0.982,Subur
1348,6.17,0.219,41.12,0.771,4.6,37.6,96.27,,43.9,1.158,Subur
1349,7.32,0.213,42.32,0.696,3.98,44.3,93.7,Lempung Berliat,41.34,1.143,Subur
1350,7.09,0.334,54.18,0.733,3.73,32.95,61.41,Lempung,30,1.122,Subur
1351,8.35,0.2,1.1,0.145,1.36,18.76,10.29,Debu,70.18,1.832,Tidak Subur
1352,7.22,0.462,34.82,0.791,3.23,21.82,83.81,Lempung,28.59,1.043,Subur
1353,7.4,,30.56,0.798,,29.3,71.12,Lempung,39.08,0.902,Subur
1354,7.04,0.436,27.57,0.632,3.75,42.13,82.46,Lempung Berliat,29.72,0.97,Subur
1355,3.93,0.186,11.98,0.279,,7.22,11.74,Pasir,11.73,1.49,Tidak Subur
1356,7.89,0.145,7.08,0.095,,10.08,54.93,Liat,72.78,1.65,Tidak Subur
1357,4.03,0.096,7.86,0.208,0.93,7.14,48.99,Debu,13.57,1.65,Tidak Subur
1358,5,,5.07,0.07,1.79,17.44,13.59,Liat,5.88,1.695,Tidak Subur
1359,6.71,0.378,49.89,0.622,3.94,31.95,70.89,Lempung Berliat,35.86,1.013,Subur
1360,6.41,0.495,38.06,0.346,2.63,43.07,73.33,Lempung Berpasir,30.14,1.156,Subur
1361,5.16,0.097,7.38,0.283,1.58,17.61,21.58,Debu,5.89,1.649,Tidak Subur
1362,6.97,0.357,55.17,0.378,,35.7,84.8,Lempung Berliat,38.43,0.979,Subur
1363,4.11,0.102,11.31,0.155,0.76,14.62,24.81,Debu,11.81,1.52,Tidak Subur
1364,7.74,0.131,8.1,,1.37,6.03,21.14,Liat,60.95,1.647,Tidak Subur
1365,7.05,,43.53,0.467,2.38,43.5,93.75,Lempung Berpasir,32.96,0.907,Subur
1366,6.46,0.309,20.13,0.516,4.93,35.43,88.55,Lempung,30.43,0.932,Subur
1367,8.23,0.174,10.21,0.097,1.15,16.98,41.81,Pasir,72.62,1.834,Tidak Subur
1368,6.91,0.477,24.71,0.325,3.38,40.32,73.87,Lempung Berpasir,25.71,0.979,Subur
1369,7.71,0.142,4.8,0.239,0.77,9.47,57.64,Pasir,68.82,1.703,Tidak Subur
1370,4.01,0.102,,0.105,0.79,11.41,14.57,Pasir,15.77,1.518,Tidak Subur
1371,6.08,0.335,15.51,,2.62,23.75,93.12,Lempung Berpasir,,1.149,Subur
1372,8.78,0.094,11.55,0.057,1.8,12.99,18.96,Debu,61.59,1.889,Tidak Subur
1373,6.66,0.317,58.32,,3.12,20.98,69.52,Lempung Berpasir,26.8,0.994,Subur
1374,7.35,0.379,55.82,0.757,4.62,37.52,85.71,Lempung,32.9,0.905,Subur
1375,6.21,0.33,28.63,0.703,,34.65,76.48,Lempung,36.42,1.03,Subur
1376,6.02,,34.98,0.55,4.08,29.17,84.62,Lempung Berpasir,37.86,1.014,Subur
1377,7.47,0.298,27.93,0.441,4.66,20.84,94.35,Lempung Berpasir,31.51,1.074,Subur
1378,6.23,0.342,21.63,0.36,,39.05,71.22,Lempung Berpasir,25.39,1.178,Subur
1379,8.12,0.02,5.21,0.115,1.61,16.5,56.57,Liat,60.13,1.409,Tidak Subur
1380,8.53,0.19,,0.163,0.35,13.32,43.52,Pasir,57.05,1.673,Tidak Subur
1381,6.3,0.446,26.1,0.381,4.23,24.17,98.46,Lempung Berliat,,0.956,Subur
1382,7.43,0.288,36.85,0.311,4.01,38.41,94.26,Lempung,32.01,1.126,Subur
1383,3.96,0.149,10.66,0.129,1.37,14.37,33.12,Pasir,9.13,1.454,Tidak Subur
1384,7.38,0.364,53.16,,2.48,29.03,92.44,Lempung Berliat,31.04,1.137,Subur
1385,7.97,0.086,10.7,0.215,1.29,15.54,50.31,Debu,71.66,1.514,Tidak Subur
1386,6.09,0.498,31.21,0.578,4.43,41.93,67.99,,44.17,1.106,Subur
1387,6.95,0.382,44.44,0.4,,27.13,70.79,Lempung Berpasir,33.16,0.998,Subur
1388,6.49,0.245,16.75,0.627,2.07,27.89,96.62,Lempung,36.41,0.979,Subur
1389,7.61,0.186,8.19,0.254,0.64,18.06,56.69,Pasir,64.3,1.665,Tidak Subur
1390,6.71,,37.33,0.499,3.28,40.64,78.83,,26.34,0.941,Subur
1391,6.18,0.23,15.01,0.409,4.25,20.99,80.93,,34.03,1.096,Subur
1392,8.45,0.056,1.73,0.272,1.45,16.51,56.93,Pasir,64.9,1.836,Tidak Subur
1393,6.71,0.277,32.12,0.427,2.13,22.98,60.85,Lempung,42.68,1.084,Subur
1394,6.75,,40.38,0.657,4.29,28,83.96,Lempung,33.78,1.077,Subur
1395,8.59,0.172,8.85,0.115,0.94,13.53,15.47,Liat,61.86,1.733,Tidak Subur
1396,8.29,0.2,8.97,0.227,0.82,13.06,26.24,Debu,71.26,1.509,Tidak Subur
1397,6.5,0.28,30.53,0.646,3.53,39.52,63.46,Lempung,28.47,1.131,Subur
1398,7.46,0.32,59.13,,2.78,34.23,68.87,Lempung,28.4,1.187,Subur
1399,4.69,0.064,10.63,0.179,0.52,10.7,20.39,Liat,7.24,1.861,Tidak Subur
1400,3.96,0.07,11.27,0.062,1.71,12.75,21.49,Debu,9.61,1.873,Tidak Subur
1401,7.45,0.496,17.82,0.444,3.18,37.67,92.71,Lempung Berliat,33.96,1.01,Subur
1402,7.29,,21.95,0.713,2.89,22.31,79.93,Lempung,36.79,,Subur
1403,6.87,0.305,21.3,0.533,3.66,31.51,68.3,Lempung,36.76,1.154,Subur
1404,4.79,0.019,5.31,0.196,1.84,5.41,13.63,Liat,8.04,1.433,Tidak Subur
1405,4.07,,4.03,0.137,0.3,6.03,12.24,Liat,15.06,,Tidak Subur
1406,8.23,0.165,12.63,0.073,0.39,11.6,20.69,Pasir,55.51,1.845,Tidak Subur
1407,6.49,0.261,,0.713,3.11,25.82,91.61,Lempung,33.56,1.19,Subur
1408,8.38,,3.25,0.11,1.1,9.38,19.47,Liat,,1.426,Tidak Subur
1409,8.03,0.188,6.66,0.066,1.23,17.71,40.44,Liat,73.19,1.486,Tidak Subur
1410,6.28,0.432,33.19,0.31,4.93,36.15,62.91,Lempung Berliat,28.76,1.151,Subur
1411,7.12,0.447,25.82,0.358,3.14,43.99,97.26,,34.41,1.192,Subur
1412,7.09,0.218,48.7,0.446,3.7,25.64,93.44,Lempung Berpasir,40.67,1.021,Subur
1413,6.31,0.423,,0.712,2.24,26.15,95.85,Lempung Berliat,27.8,0.93,Subur
1414,8.86,0.039,5.48,,0.77,13.06,58.11,Debu,,1.497,Tidak Subur
1415,7.04,,34.37,0.403,3.36,33.74,86.54,Lempung,44.62,,Subur
1416,6.06,0.399,32.27,0.675,2.16,43.62,89.79,Lempung,34.25,0.963,Subur
1417,8.91,0.173,3.67,0.278,0.26,8.13,22.46,Liat,56.68,1.431,Tidak Subur
1418,3.69,0.157,3.69,0.249,0.43,10.81,29.14,Liat,14.93,1.413,Tidak Subur
1419,6.04,0.212,56.69,0.769,3.22,39.4,69.32,Lempung Berliat,30.04,0.957,Subur
1420,4.49,0.044,1.84,0.153,,8.19,37.56,Liat,19.35,1.739,Tidak Subur
1421,3.53,0.186,9.12,0.203,0.55,16.88,36.69,Debu,18.14,1.544,Tidak Subur
1422,6.51,0.319,37.53,0.382,4.12,26.7,95.25,Lempung,32.97,1.196,Subur
1423,8.83,0.011,2.19,0.288,0.98,13.97,51.28,Debu,55.08,1.849,Tidak Subur
1424,6.47,0.455,15.35,0.667,4.96,43.4,66.39,Lempung,38.43,0.944,Subur
1425,3.8,0.1,,0.131,0.27,16.31,29.12,Pasir,6.48,1.829,Tidak Subur
1426,4.11,0.154,10.91,0.248,1.58,7.69,57.79,Pasir,17.29,1.422,Tidak Subur
1427,4.19,0.14,2.78,0.252,1.74,13.82,18.3,Pasir,6.63,1.6,Tidak Subur
1428,8.1,0.03,12.97,0.118,0.84,14.01,51.69,Pasir,62.48,1.564,Tidak Subur
1429,6.57,0.481,21.05,0.535,3.73,34.43,68.47,Lempung Berpasir,33.49,1.083,Subur
1430,6.44,0.478,57.16,0.643,,43.83,94.25,Lempung Berliat,41.03,1.045,Subur
1431,6.04,0.471,55.61,0.648,2.66,24.23,81.62,Lempung Berliat,30.64,1.151,Subur
1432,5.08,0.125,8.82,0.216,1.03,14.11,36.07,Liat,10.19,1.68,Tidak Subur
1433,5.31,0.098,5.57,0.095,1.31,7.27,11.77,Debu,12.02,1.51,Tidak Subur
1434,7.95,0.105,6.17,0.252,1.42,5.05,14.11,Liat,67.36,1.708,Tidak Subur
1435,6.74,0.285,,0.745,3.33,40.27,69.9,Lempung Berliat,41.43,1.102,Subur
1436,7.14,,52.2,0.795,3.64,22.21,97.65,Lempung,36.75,0.957,Subur
1437,7.34,0.327,47.5,0.65,3.07,37.54,98.76,Lempung Berpasir,28.42,0.962,Subur
1438,7.12,0.407,27.67,0.301,3.49,38.56,74.66,,31.27,,Subur
